TEXT	SENTI
早餐好吃、地點又近逢甲夜市，床也好睡!物超所值!	1
1. 可以看的電視頻道有點少。 2. 熱水壺沒有很乾淨。 3. 浴室有點小。 4. 沒有提供棉花棒，有點可惜。	0
不錯	1
一般	1
車位太少	0
都不錯	1
床的軟硬度及尺寸非常舒適	1
早餐還蠻豐富 房間光線充足 床也不錯睡 還提供高低枕頭	1
很舒適～	1
隔音雖沒很好但有附上耳塞。 住宿有贈送生啤，很感謝，但無法喝酒精飲品，很殘念。	0
員工服務親切有禮	1
很貼心，除了幫我們整理好環境以外，跨年當晚還特地準備驚喜在我們房間，讓疲憊走回旅館的我們一個大大的溫暖	1
空間大，有回家的感覺，晚上很安靜。 早餐很清爽不錯~	1
位居於工業區旁	0
老板特别好，提前加了微信，询问我们的火车	1
景不錯	1
2/18入住5280，浴室漏水，半卷衛生紙，入住四人，洗沐用品只有二人份，早餐只到9:30，餐點不到9:00就沒了	0
剛好我們住的108號房的冷氣有時會發出聲音，有點吵，要自己去調整，其他都不錯喔	1
沒停車位可提供比較麻煩	0
隔音很差，樓上腳步聲大	0
設備新穎，乾淨，氣氛非常棒	1
設備有點舊了。	0
退房時間為12點，房務員前後兩次按鈴覺得被打擾	0
餐厅碗筷不是很干净，用了很久的样子。房间比较小，价格也没有很便宜。	0
小條毛巾所使用的是拋棄式的，建議可以換成毛巾。	0
浴室磁磚有水漬時很滑	0
停車線不清楚 , 停頂樓車好熱	0
人員服務很親切	1
舒適～	1
素食者來說比較不便	0
地點好方便	1
無	0
太棒了 很喜歡	1
床是金屬的，睡覺翻身金屬會有聲音，當晚所幸把床單放地上睡～地上木地板乾淨～	0
早餐好吃，很豐盛。 服務人員無比親切。	1
隔音设备太差	0
乾淨舒適	1
早餐不佳、房間浴缸發霉，住房隔音不佳	0
非常棒的住宿經驗!招待的細微讓入住的房客明顯感受到!非常好的花蓮市區落腳地點!	1
老闆人很親切，也很願意分享羅東的景點讓我們知道 地點位於巷弄之內，但離市區其實也不遠，有鬧中取靜的感覺	1
隔音不夠好	0
價格不貴，有附早餐，整體房間乾淨	1
空間很大	1
此次沒用餐	1
房內可以放置重要物品桌面太小，也無法在桌面上書寫 住宿房客過於喧擾 下次也許不會有意願再住宿 謝謝	0
交通便利	1
中式麵店 折扣  還不錯	1
早餐很好吃，地點方便。	1
地點方便,西門站一出就到	1
整潔，新裝潢	1
這已是第二次入住，房間擺設整體舒適，早餐好吃，服務人員親切	1
窗簾擋光能力一般	0
無	0
服務人員親切，地點便利	1
天花板有些灰塵...剛好就在躺下來的頭頂上方	0
環境舒適,風景優美,有溜滑梯盪鞦韆~適合家族旅行	1
沒有對外窗戶，且空氣流通差	0
餐點	1
設備比較老舊	0
民宿內外古色古香，佈置上別具用心，早餐豐盛份量十足，尤其位置優越，走路就可以逛各有名景點，值得一去再去。	1
隔音不好、消防設備照明燈太亮夜晚難入睡、超時需加收一千有點誇張...	0
隔音不太好	0
獨立空間	1
乾淨，舒適，早餐也很不錯，名宿主人還是個年輕小伙子，	1
櫃檯很親切 夜市在附近 附簡單早餐	1
隔音較差	0
還不錯	0
房間有些地方裝潢比較舊且破損 需要改進。 浴室很有復古的味道。 停車場容易客滿且很考驗技術，滿了之後要停更遠。	0
只有布鞋沒帶拖鞋的人 洗完澡會腳濕 不太舒服	0
很溫馨的感覺❤️滿喜歡環境的	1
希望有附紙毛巾	0
沒有	1
離夜市近，房間乾淨舒適	1
自助洗衣快又方便。房內應有盡有，離捷運站近！可寄放行李。	1
很美的view🏔🏝、距離老街很近、距離公車站很近、很像家的感覺、陽台有高腳椅跟搖椅可以坐著聊天吃東西看風景👍🏻	1
隔音稍差	0
隔音效果不好 很吵	0
浴室未打掃，排水孔還有上一個客人的頭髮。 浴室地板上也有上一位客人遺留的保養品，牆壁上有一明顯白色手印	0
服務很好	1
乾淨	1
房間及浴浴室很潔淨。	1
老闆很熱情	1
靠近夜市，交通方便	1
房間整理相當乾淨	1
位置方便	1
就是隔音很差，其他可以，下次可以考慮	0
床很舒服 地理位置很好 人員親切	1
隔音需要改善。	0
都很棒	1
棉被太多毛飛出來	0
停車場通道過窄  車子比較大台可能容易刮到 建議停一樓比較好	0
地點佳，去鐵花村或正氣路夜市很方便	1
早餐好吃	1
服務親切，地理位置便利	1
沒衣架	0
CHECK IN時速度有點慢 進飯店時完全無人接待	0
停車方便，房間設計不錯。	1
地點方便	1
空間很乾淨，也很安靜舒適，離附近的景點有很近，下次來台南還是會想住喔	1
樓地板超薄，樓上住了人，走動聲音聽得超清楚～	0
床底需要加強，有前房客留下的東西	0
早上到對面的森林公園騎車佷棒，但提供的腳踏車數量可能不多，所以沒辦法5人同行一起騎車賞景	0
住宿的整體感覺，是乾淨整潔，離墾丁大街很近，硬體設備很新。	1
人很親切	1
價格合理	1
帶小孩入住玩水方便安全	1
房間乾淨舒適	1
洗澡時淋浴的水量有點小，整體來說是舒適的。	0
離夜市近	1
隔音有點差	0
感謝老闆很細心熱情招待	1
位於北車對面很方便	1
房間鑰匙不知是否通用，老闆竟將客人帶錯木屋，房號標示不清楚，客人也跑錯房間	0
房間很乾淨又舒適	1
寬敞的空間 地中海風的色調 讓人心曠神怡 CP值超高	1
人員服務很親切	1
房間很不錯，有提供很多免費泡麵零食和飲料	1
設施很棒，浴室和廁所很乾淨	1
四人房房間非常乾淨	1
廁所浴室排水	0
早餐	1
環境舒適、服務親切	1
床墊軟 很舒服	1
設備新	1
飯店位置好，房間冷氣夠涼。飯店提供早餐雖不錯，但是座位不夠，附近有不少好吃的早餐，也算是不錯選擇。	1
早餐看起來很多樣其實還好	0
環境舒適，很新很乾淨。	1
環境整潔	1
房間設計，阻隔洗手間和房間的牆用了玻璃。早餐，真的要改善才可	0
房間滿乾淨整潔 早餐好吃很多選擇	1
房間跟浴缸都蠻大的，床也舒適，早上櫃檯小姐親切有禮(有提醒道路施工)	1
房間味道不好廁所管路不好一直有味道 床單老舊不乾淨	0
床很舒服	1
隔音不良！會聽到樓下的車聲	0
房間和飯店設施有點舊,地毯看起來不乾淨. 其它房間設施都很乾淨. 早餐一般般, 對比價格覺得房間價格太高不划算.	0
不好吃	1
房間完全沒有奇怪的味道，也沒有煙味，隔音部份不是非常好，但入住的感覺很超值，服務人員應對非常自然友善。	1
位置佳	1
1. 隔音不好，可以清楚聽到隔壁房電視聲。 2. 免費機場接駁一天僅兩班，若能在網頁上先行說明較好。	0
環境乾淨，服務人員親切	1
床比較硬	0
幫忙升等體驗更棒的房間 非常貼心  隔音非常的好	1
床墊容易滑掉～哈	0
冷氣溫度不好控制  床有點硬	0
地點 不錯 停車方便	1
設備新穎，乾淨整潔，床鋪枕頭很好躺	1
環境衛生乾淨、服務態度非常好	1
床稍硬 浴室積水不退	0
冷氣不能調校，比較悶熱，要開窗。	0
隔音略差	0
簡約，乾淨……	1
服務很好 也有很多地方提供拍照	1
地點方便，環境清潔舒服，對面還有一間不錯的按摩店，玩完一天仲可以做個按摩才返去。。正。。	1
隔音略差 早餐飲料不好喝	0
地點方便，房間也很大，有機會還會選擇入住。	1
燈光有時候會忽大忽小	0
大廳温馨	1
交通方便，斜對面就是火車站	1
沒有	0
面湖景觀超棒的！	1
服務態度好。	1
遲一小時走都要罰款	0
貼了請勿打擾就不要敲門了嘛...	0
停車較不方便	0
整体質感。一開始房間電視音量有問題，酒店在我用完晚餐回來主動幫我換房間。讚！	1
早餐不錯～	1
地點方便走路就是熱鬧的國華街海安街不怕沒美食可以吃	1
一切都很好 美中不足的是早上清掃人員聊天音量非常大聲 ，睡覺被吵醒 （整層樓都能聽到）	0
電梯故障	0
空間小	0
地點方便	1
下舖冷氣不大涼  門卡只有一張，我們要分開行動不大方便	0
隔音比較差，半夜一直聽到隔壁聊天的聲音。早上盥洗完，還聽到隔壁聽新聞的電視聲。泳池未開放不知何因？	0
房間裡沒小冰箱，冰箱是共用的，會覺得很奇怪	0
浴室門無法上鎖	0
整潔	1
早餐還可以~滿簡單的! 床很舒服~一覺到天亮!!!	1
早餐豐富，住宿環境便利	1
老闆和老闆娘熱情好客	1
床是加大的，睡起來超舒服的！ 離逢甲夜市蠻近的	1
房間霉味稍重	1
整個住宿環境都很舒服	1
停車自費、停車場與飯店連線有問題，讓我們離開時在停車場等很久。	0
沒有吃到早餐	1
地點位於一中街附近 很方便又不吵雜 還能免費停車很棒～ 櫃檯員工很親切！	1
安靜，服務親切	1
床很舒適	1
餐廳比較小，走路很容易撞到桌椅。	0
一開始給錯房間在房內等待人員換房，結果在床上發現應該是上一個客人的毛髮。	0
洗衣房乾衣，早餐款式不換，無古早味	0
冷氣聲音略大	0
電視的畫質還是類比的	0
清潔乾淨！職員態度良好😊	1
服務人員非常的客氣，有腳踏車出租這點超加分，早餐很新鮮!態度都非常好。	1
環境舒適，有各種活動適合大大小小，若有學齡兒童應該可以玩得很愉快，適合住個三天兩夜，才會享受整個度假的時光。	1
1.希望不加床的小孩能不用加錢,就更好了~ 2.因為帶小孩出遊, 希望check in時間能提早一點.	0
值得推薦給親友	1
床舒服	1
早餐豐富、每天不同	1
環境很棒,有營造出特有台南的文化氣息!	1
很棒的拍影片體驗XD	1
枕頭有很重的臭味，感覺不好	0
暂无	0
床好舒適，環境吾錯，就近逢甲夜市和很多店舖	1
床單和被子多塵，有點舊。地點一般。	0
隔音不佳	0
廁所空間大，水壓與水温穩定，盥洗用品好用，早餐菜色多樣有變化	1
價格	1
房間很乾淨，床很舒服，早餐選擇性佳，服務人員親切，下次來一定還會選	1
Breakfast is good	1
早餐豐富好吃，物超所值	1
隔音差	0
地點很棒	1
早餐好吃	1
安靜無煙味	1
不能付現	0
都很好	0
環境很好，很乾淨	1
地點佳，整潔，早餐好吃	1
很普通	1
寢具舒適 沐浴乳香味	1
都很舒適～ 早餐可以再加強⋯	1
房間隔音太差，房外走廊有人走動的和說話聲音很清楚。	0
舊式飯店，有些設備較舊。	0
浴室空間太小且隔音不甚理想,另須自費停車200元!	0
地點很方便	1
價格公道	1
服務態度不錯	1
廁所的水量太小要沖到乾淨要花很多時間	0
24小時咖啡廳及晚上宵夜時間全台第一。	1
陽台跟兩扇窗採光好！很乾淨！	1
浴室的設計有點奇怪，雖然說是乾濕分離，但是中間夾了一個洗手台，洗澡間沒有簾子，只有外面有一個大簾子可以拉起來	0
聯外路況差，客房設備舊、隔音差，浴室狹窄。	0
非常乾淨整潔	1
環境是舒服的，服務人員也很親切，到的晚上因為下午，還很貼心告知有雨傘可借	1
販賣機	0
房間乾淨舒適	1
向櫃檯小姐要一點洗碗精而已，到餐廳卻是叫我們去廁所用洗手乳洗碗，那以後你們的餐廳碗都用洗手乳洗就好啦！	0
床墊過軟，完全不舒適	0
乾淨舒適	1
房間乾淨舒適	1
新啟用的旅館，很多東西都還沒到位，比如健身房還未啟用，一樓公共空間廁所未啟用，但瑕不掩瑜	0
隔音差，隔壁講話都聽得到	0
床墊應該是需要換了...	0
地點就在台北車站旁，非常方便。	1
服務人員好，住得舒服。	1
當初是訂一張大雙人床的客房，結果床鋪是用2張單人床併成雙人床，中間會凹陷，睡起來不舒服	0
沒有附設停車場 其他都很好	0
床上有蟑螂	0
因為沒接待櫃台所以要用手機連絡一下老闆喔!	0
櫃檯人員親切有禮貌，尤其是吳小姐，入住退房都非常迅速專業，對於我的問題都很熱心的回答，總之很棒！ 早餐不錯，物超所值	1
家庭房，房間略小	0
電視位置不佳  因為是角間, 所以床尾到落地窗距離很近 不太舒適  健身房及三溫暖只開放到夜間9點	0
還可以☺️	0
床跟安靜很不錯！	1
寧靜無光害滿天的星斗，離南安瀑布近位在台30旁就可看到	1
停車服務很佳，指引的工作人員經驗豐富，很讚！	1
早餐還好，可以	1
有告知不喜歡邊間 卻還是邊間	0
服務親切,室內湯屋很舒服,休閒設施很適合親子共遊	1
床很舒服	1
床鋪較軟	0
房間地毯有一點霉味	0
離車站很近，很棒	1
部份房間浴室無乾濕分離，洗澡時會噴濕馬桶跟地板	0
環境乾淨、員工親切	1
整體很舒適	1
環島ㄧ週後入住6晚有洗衣設施 非常貼心. 咖啡 飲料24小時供應 很讚。	1
只有地點好	1
可以加個浴缸更好	0
很有特色且服務良好	1
無	0
公用浴室非常乾淨	1
這次入住一樓和室房，房間整潔寬敞，早餐豐盛好吃，老闆貼心健談，除免費借提供腳踏車外，看我們行李多還貼心的送我們到火車站	1
服務貼心 浴室舒服 床鋪舒服！	1
地點離逢甲夜市近又有停車位是我們選擇的主因,  入住後的服務態度親切及設施完善, 讓人十分滿意	1
房間沒有窗戶	0
隔音不好	0
就是等電梯花了多較多的時間在等待！	0
陽台	1
乾淨清潔，服務人員親切	1
非常乾淨  舒適 看的到 民宿老闆的用心  讓每位入住的旅客  輕鬆放鬆  床也好好睡哦⋯⋯	1
整體感覺相當舒適	1
停車場需要接駁，不太方便	0
因為是２張雙人床，所以房間是面山，沒辦法直接看到海景。	0
床不好睡	0
隔音太差，抽水馬桶聲音很大	0
早餐是現做的	1
早餐好吃到不想離開飯店	1
那天的室友，不知道哪國的人一直在房間內用手機聊天... 住宿的部分還是不錯的	0
整體感覺很棒！有機會再去花蓮會再去住！	1
旅館位置佳,價錢合理	1
有化妝桌和鏡子~衣架也滿多的~小地方滿貼心的	1
人員親切，講解清楚	1
可惜被周邊新建高層民宿與鮮豔LED燈破壞海灣景觀。 房間沒有熱水壺，須到大廳取熱水。	0
服務親切	1
大樓像廢墟,續住打掃並沒有掃乾淨,地板都還有頭髮毛絮	0
邊間，床鋪邊的走道位子太窄	0
環境乾淨	1
服務人員很親切，房間很大，cp值很高，地點很棒	1
沒有	1
清潔度非常不佳，有不知何時入住客人的髒拖鞋，浴室的窗簾發霉，玻璃接縫處更有未乾的矽利康~~	0
廁所清潔衛生不好、浴室才4間！	1
景色優美，員工親切	1
老闆很親切	1
沒有早餐	0
房間的燈關掉之後隔一會兒就閃一下，不知道是什麽問題，有點影響睡覺。	0
服务冷漠。	0
浴缸的水不知道為什麼會一直漏掉,明明有塞著,試了好久還是這樣	0
入住的房間可看到日落,空間夠大, 鄰近捷運站, 很方便	1
自在	1
旅店的員工都很和善，給予我們很多幫助。從幫我們送行李進房間到約司機帶我們去要去的地方。提供的早餐很好吃，有稀飯也有吐司。	1
員工非常之有禮貌,地點位置超方便,價格合理。	1
早餐選擇性變少	1
設備太舊	0
房間面積頗狹窄，隔音效果不好，人聲、水聲都造成噪音，影響睡眠。樓下升降機入口處較為陳舊，不甚整齊。	0
酒店的建筑物外观差强人意(感觉像很旧很脏的大厦)。	0
遠離塵囂，早上校園散步感覺很棒!	1
地點絕佳，到周邊景點就算走路也不超過15分鐘；房間設施、床鋪都不錯，早餐也很用心好吃；經濟實惠。	1
3:30 Chech in時，房間還尚未整理好，在大廳等了10分鐘多，已經超過給我們入住的時間。	0
小孩玩的很開心	1
挑不到毛病	0
剛好在Ｔ字走道位置，此回有點吵雜	0
都很不錯！！	1
從大廳到房間整體設施都很好👍房間舒適讓一整天忙碌的心情獲得舒壓	1
枕頭跟床單有血跡	0
早餐提供點衛生較差，蒼蠅亂飛，是美中不足之地	1
服務有待加強	0
老闆的服務態度和藹，套餐選項不錯！	1
冷氣太冷，無法自行調整。 房務清潔度有待加強。	0
房間很乾淨	1
在尚可以取消訂房前，即從信用卡扣款	0
冷氣晚上睡覺太冷了	0
早餐還好 果汁太過於淡	1
床鋪太軟	0
洗澡水忽冷忽熱	0
我覺得地理位置很棒，然後可以寄放行李很方便。價格真的很便宜，但床意外的舒適，房間內部空間很大！	1
地點方便	1
環境整潔，服務態度好～	1
床還滿舒服的，近市區，也有泳池可使用，非常物超所值	1
唯獨隔音不太好，其它都很好	0
在海邊	1
沒有電梯，樓梯較窄，上下樓梯不太方便，行動不便者不推薦。	0
乾淨整齊	1
故障的問題不少	0
非常乾淨～地點也和逢甲夜市很鄰近～下次再去	1
食物單調了點  停車可以更便利的話會更好	1
冷氣聲音太大，沒靜音功能，電視竟然沒第四台，對於長輩來說不會滑手機，晚上就有點無聊了。	0
住宿人員的服務態度	0
毛巾有待改善，有污漬 電梯需要刷卡但四人房只給一張房卡不方便	0
光線好，夕陽景色好	1
隔音	0
健身房器材有些無法使用或說明不清，似乎沒有定期保養。	0
可惜離市議會捷運站有一小段路	0
早餐好吃，床舒適	1
The location.	1
老闆娘人很好 民宿很新 其他都很棒 還有自助式的早餐可以享用	1
太棒了！ 舒適的環境讓人充分的放鬆心情	1
水管太吵了	0
舒適且交通便利	1
地理位置	1
早餐餐點內容待加強,可以更多樣化,以及水果蔬菜的新鮮度	1
乾淨舒服，大浴缸小朋友玩的很高興	1
早餐真的不是很好，是我們太晚去了嗎 我們8:30去吃得的，應該不晚吧。	0
地點還不錯。	1
床非常舒服，服務人員態度也很好，價格又平民	1
廁所及淋浴間非常乾淨，床鋪舒適 交誼廳燈光明亮，有插座可以使用 交通便利，距火車站只有5分鐘路程	1
乾淨舒適	1
乾淨，房間舒適，地點方便。推薦!	1
服務人員的服務很好	1
離西門徒步區很近，餐飲選擇多，人潮多卻不會過度擁擠，街頭藝人表演很好看。	1
位置很好	1
隔音太差	0
房間發現小蟑螂 房間浴巾有破洞，有點舊	0
服務親切，房間舒適	1
鄰近交通方便	1
地點鄰近海安路、保安路，有許多小吃，員工很和善親切	1
我們訂房三間，惟一小小美中不足，是某間房的空調有些大聲會影響睡眠，其他的都很好	0
地點方便	1
空間寬敞舒適	1
可以放鬆的好地方	1
乾淨舒適的環境，服務人員態度親切， 還有提供按摩椅讓人放鬆， 自助式的早餐很不錯喔！	1
沒有	0
這是我們第二次入住此飯店，我們都很開心就好像回到家里的感覺，前台服務人員都親切房間也乾淨，沒有異味以及香煙的味道。	1
暫時沒有	0
沒有.很滿意	0
乾淨	1
床墊可能老舊了睡起來不太舒適,翻身吱吱作響,建議該更新了.	0
早餐不好	0
洗澡乎冷乎熱、沒有景觀、房間普通、毫無特色價格卻超貴	0
早餐跟晚餐餐飲的部分可再增加菜色的選擇性，稍嫌單調。晚餐CP值低	0
沒有	0
地點佳	1
房間被安排在七樓 景觀很好 床很舒服 整體乾淨 飯店員工都很親切	1
無	0
房間太少	0
老闆非常親切，房間大而舒服，有溫馨家庭的情調	1
還可以	1
早餐豐盛，地理位置方便，服務人員非常親切，讓人有賓至如歸的感覺。	1
枕頭太軟不好睡	0
早餐多樣動線不醋	1
改建融合現代與懷舊，很有特色	1
廁所太小 床很多灰塵 沒有全身鏡	0
床位正對冷氣出風口，整晚風口對著頭部吹冷風，很不舒服，但對員工服務品質是肯定的	1
地點好	1
整潔，服務態度佳	1
1.服務人員親切，早餐好吃(米粉&小籠湯包) 2.免治馬桶讚 3.房間浴室都乾淨，冷氣有點大聲，	1
鄰近夜市蠻方便，房間大小也很寬敞	1
睡覺沒有完全隔間，如果怕吵的人可能會比較不ok	0
員工服務態度很好	1
早餐不錯 房間乾淨	1
平價旅館~ 五星級的服務! 提供洗衣機烘乾機~提供免費的飲料和餅乾點心	1
空间有点狭窄。大行李不能摊开。浴室空间大不过没地方挂衣服。要找服务人员有点难。	0
員工態度親切，房間寬敞	1
廁所一次只能沖一次水 上廁所人不能接著上 會沒辦法沖	0
離市區有點遠，廁所不太通。	0
淋浴設備	1
請房物人員確認411房床邊櫃子下方的清潔，看起來完全沒有清過	0
服務親切，耐心有禮	1
要注意住5樓沒有電梯	0
早餐選擇較少 但服務很親切👍🏻	1
早餐很豐盛,位置極佳,房間是剛裝潢的,整體來說超棒的～	1
早餐不錯，房間乾淨，地點很優	1
空間整潔上待加強、隔音不太好隔壁開關門都知道	0
房間正對著樓梯不太喜歡……	0
近火車站	1
舒服安靜，附近機能好	1
早餐 Good !	1
交通便利，服務態度良好	1
乾淨 舒服	1
床很硬	1
冷氣有點異聲.可能需要檢查一下	0
廁所房間	0
有提供 梳洗用品	1
1.早餐鮮奶沒了卻不再補充。 2.四人房型廁所與浴室相隔遙遠，使用不方便。	0
房間簡單，整體還算乾淨。	1
人員很貼心、服務很周到、房間漂亮舒適、貼心提供小孩盥洗用具、早餐美味滿足	1
硬體設施很棒~ 海景無敵	1
早餐是自助式的還不錯整體來說都還不錯	1
位子有點難找	0
樓高較低、9樓舞廳會發出震動音樂、浴室門霧面玻璃 出差與人同房有些不便	0
早餐非常普通 而且補菜很慢 不是沒湯匙 不然就少叉子	0
枕頭太過軟塌，不好睡 停車場有點距離並且無圖示清楚路線	0
房間有點太小(擁擠)	0
服務人員不錯謝謝	1
管家很親切，介紹美食和景點非常仔細，讓我們玩得很愉快	1
早餐不好吃欸⋯	0
灑水器會於清晨5點左右開始作業，非常大聲且水灑得門口一片、尚未退房且未達退房時間，就有人員直接開門進房	0
枕頭非常難睡，整晚沒睡好	0
風景很好，民宿主人很親切，環境很乾淨。	1
洗浴间太小	0
服務人員很親切，飯店整潔，房間簡單舒適。	1
隔音及早上的裝修聲音	0
好舒適.地方不錯.位置很近	1
無	0
洗手台在床前，不在浴室內 雙人床是兩張單人床拼湊的不太舒適	0
服務人員專業素質真的需要再加強	0
3人房空間規劃很寬敞舒適明亮 早餐偏中式早午餐類型，還ok 小型露天泳池，很棒	1
房間乾淨，床很舒適，隔音好 地點很好	1
咖啡和面包可以有更多款式	0
住3天2夜，換了二次房間 問題都出在冷氣的問題	0
還真想不到什麼不喜歡呢？！	0
餐廳清潔有問題, 麵包上停留多隻小蚊蠅	0
價格很實惠，房內乾淨好睡	1
停車問題不便利、連假價格比之前週休時價格上漲很多，早餐選擇雖然多樣但口味上平庸。	0
房間舒適、浴室整潔，整體而言滿意。	1
早餐種類多。但手藝普通，失手嗎？	0
超乎意料的舒適，員工態度很周到，早餐不錯。 雖然設備不是很新，但算很乾淨。 晚值員工體諒住宿客人，給予方便。非常感激。	1
床鋪舒適 早餐有多樣選擇 價格實惠	1
早餐選擇多，用餐環境舒適 床很好睡，不會吵雜 附近的忠孝路夜市很好逛很好吃	1
早餐好好吃 服務人員很好 離逢甲夜市很近走路可買遍美食 值得推薦	1
服務不錯	1
房間漂亮 地理位置好 特價時住入非常超值	1
早餐內容很少 也不太好吃	1
有一個小廚房 即使跟伴侶因為天氣問題不想出門 也可以自己下廚 滿特別的 另外浴室好大 跟伴侶一起洗澡也滿有情趣的	1
地點近	1
潔淨、員工親切友善	1
枕頭有一點點不好 有味道	0
員工熱情、環境非常整潔	1
洗手檯水槽跟水龍頭出水的角度沒設好，一開水就一定噴濺到衣服。	0
都還不錯	1
早餐種類很多樣，口味也很好，很符合我們的期待。床很舒適，房間設備很新穎，品質很高	1
定到沒窗戶的，房間小，天花板低，有壓迫感	0
房間大，乾淨舒適	1
設計很棒 價錢超級便宜	1
新酒店，設施新，房間整潔，距離逢甲夜市不遠	1
房內燈光較暗	0
晚餐早餐不好吃 廁所不太清潔	0
早餐只供應到9:30有點早。	0
地點繁華，房間乾淨	1
單人的  很好	1
大	1
免費幫我從雙人房升級4人房.很開心 有免費的咖啡跟吐司24H供應	1
民宿裡有貓咪跟狗狗，但是環境空間依然保持很乾淨整潔❤️	1
沒有	0
沒冰箱	0
Villa員工熟練度不足	0
隔音設備不是那麼好 晚上一直聽到開關門聲音 且沒有早餐 但是住宿費便宜 算是物超所值	0
在一般的公寓大樓裡	0
早餐樣式不多，就一般般，但就價位來說，不能嫌棄	0
房間乾淨	1
佈置風格好喜歡  大廳設備應有盡有也有提供泡麵咖啡茶包 服務人員親切	1
交通方便！洗手台在房間裡比較不方便！	1
飯店整體設計還不錯，check in或out服務都很周到，早餐也還不錯	1
房間設計舒適好、早餐好吃、飯店的頂樓游泳池也很棒	1
All good!! 服務態度很好、住宿環境也很舒適、早餐餐廳稍小，但餐食內容很豐富	1
早餐非常豐盛很好吃 服務人員非常親切 退房不會催促	1
交通方便，乾淨整潔	1
有泳池, 走路就可以吃麥當勞了	1
房有很多蚊，潮濕，有味	0
房間空氣有點悶不過也是多人客房的關係可能冷氣循環有點不好	0
床很大，浴室空間很大很舒服，服務人員態度優，游泳池很乾淨，還有蒸氣室和烤箱，讚。	1
熱水不會熱，也沒有看到房東（委託隔壁鄰居收費）	0
地點方便	1
房間清潔乾淨，服務人員態度好	1
雨林景觀很棒	1
房間很乾淨	1
可以對訂單再多用心	0
床舒適	1
CP值高，交通方便，房間舒適。	1
老闆很好人。	1
地理位置方便出行，酒店设计很有工业怀旧风	1
房间比较局促，隔音不好，通风是个问题，开着空调还觉得有点闷，床比较软，躺久了腰会累	0
浴室與房間沒隔間,也沒有空間放衣服,和朋友入住有點尷尬	0
價錢便宜	1
門口如放置穿鞋的椅子，會較為方便。	0
早餐泡菜裡面有塑膠袋	0
早餐很不錯，對素食者來說，選擇性很多。	1
Wifi 難接駁及慢	0
裝潢優、乾淨、服務好	1
房內有螞蟻，且睡起來隔天有過敏狀況	0
離捷運松江南京2分鐘以內腳程,捷運公車都方便;旁邊就是7-11;早餐好吃;員工親切;整體都很推薦:)	1
因為訂的很急沒有提到我們需要一些幫助，不過老闆很臨機應變的幫我們更改房間，讓我們可以更舒適的住宿，好棒！住宿氣氛也很好！	1
房間有木頭的香氣，裝潢走簡樸氣配上原木牆面很符合山中小木屋的feel	1
房間提供水果、點心，很貼心。 飯店樓下飲食的選擇非常多，很便利。	1
無	0
餐點，希望能對素食者更友善	0
房間整潔度一半，價格偏高	1
算鳳山後站不錯的旅館	1
地點和特色性	1
如果可以增加暖氣會更好!!	0
地點位於山城下方	0
店內一切都很棒，乾淨、舒適、隔音佳、附一碗泡麵。	1
床有點小之外其他都很棒	0
謝謝櫃檯幫我換成雙人房，清潔的房務人員也很親切，雖然碰到下雨，可惜了海景房，但這是一個很棒的住宿體驗。	1
還好	0
早餐不夠優（可以參考一下地景澤就知道我的意思了）	0
唯一美中不足 電視無法觀賞 沒固定停車位,近住後不敢再開車出去	0
沒早餐	1
被子太薄	0
